11-01-2023 18:45,AJR,World's Smallest Violin,1630
11-01-2023 18:45,Axwell /\ Ingrosso,More Than You Know,4419
11-01-2023 19:06,Fall Out Boy,Centuries,228360
11-01-2023 19:10,BANNERS,Someone To You,219801
11-01-2023 19:14,Rick Astley,Never Gonna Give You Up,1670
11-01-2023 19:14,JVKE,golden hour,209259
11-01-2023 19:14,Boyinaband,Life Is Fun,12650
11-01-2023 19:18,Arctic Monkeys,Fluorescent Adolescent,183893
11-01-2023 19:23,The Score,On And On,215706
11-01-2023 19:25,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,158040
12-01-2023 00:45,R. City,Locked Away (feat. Adam Levine),1294
12-01-2023 15:46,The Kid LAROI,STAY (with Justin Bieber),290
12-01-2023 15:46,Sheet Music Boss,Aria Math,4120
12-01-2023 18:19,Coldplay,Viva La Vida,242373
12-01-2023 18:22,One Direction,Drag Me Down,192120
12-01-2023 18:23,Alan Walker,Alone,1060
12-01-2023 18:23,The Chainsmokers,Closer,1050
12-01-2023 18:23,Ed Sheeran,Castle on the Hill,22876
12-01-2023 18:26,Stellar,Ashes,166355
12-01-2023 18:26,Coldplay,The Scientist,4294
12-01-2023 18:27,Stellar,Ashes,14016
12-01-2023 18:27,Shawn Mendes,Stitches,610
12-01-2023 18:27,Coldplay,The Scientist,960
12-01-2023 18:33,Harry Styles,Watermelon Sugar,1350
12-01-2023 18:33,Shawn Mendes,Stitches,2610
12-01-2023 18:33,Coldplay,The Scientist,309600
12-01-2023 18:33,The Chainsmokers,Paris,1220
12-01-2023 18:33,Shawn Mendes,Treat You Better,1790
12-01-2023 18:37,The Chainsmokers,Paris,221506
12-01-2023 18:40,Shawn Mendes,Treat You Better,187973
12-01-2023 18:43,Marshmello,Silence,180822
12-01-2023 18:47,5 Seconds of Summer,Youngblood,203417
12-01-2023 18:48,Coldplay,Let Somebody Go,33645
13-01-2023 02:44,OneRepublic,Counting Stars,3870
15-01-2023 14:39,Rick Astley,Never Gonna Give You Up,42681
15-01-2023 14:39,VGR,Wii Sports,0
15-01-2023 14:41,VGR,Wii Sports,129375
15-01-2023 14:43,VGR,Mii Channel,125629
15-01-2023 14:46,VGR,Wii Sports Resort,155156
15-01-2023 14:47,FamilyJules,Wii Sports Theme,1056
15-01-2023 14:47,The Greatest Bits,"Wii Sports Theme (From ""Nintendo Wii"")",5125
15-01-2023 14:47,Nolo Flows Yo,Wii Sports,10768
15-01-2023 14:49,Vonuzal,Shreksophone,5520
15-01-2023 14:49,VGR,Wii Sports,129375
15-01-2023 15:04,VGR,Wii Sports Resort,145314
15-01-2023 17:18,Shawn Mendes,Stitches,1470
15-01-2023 17:18,VALORANT,All Eyes On Me,2490
15-01-2023 17:18,Shawn Mendes,There's Nothing Holdin' Me Back,730
15-01-2023 17:18,Marshmello,Happier,940
15-01-2023 17:18,Anissa Linton,She knows - Slowed+Reverb,1650
16-01-2023 13:40,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),214265
16-01-2023 13:44,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
16-01-2023 13:49,Mark Ronson,Uptown Funk (feat. Bruno Mars),269666
16-01-2023 13:52,AJR,Weak,199318
16-01-2023 13:54,Stellar,Bad Dream,147840
17-01-2023 14:24,One Direction,Drag Me Down,192120
